"","speciesid","Year","spending","speciesname","taxon","conservation_status","listed"
"1",11,2014,956187.185,"Balaena mysticetus","Mammals","Vulnerable",1
"2",11,2015,917124.9013,"Balaena mysticetus","Mammals","Vulnerable",1
"3",11,2016,1014963.185,"Balaena mysticetus","Mammals","Vulnerable",1
"4",11,1996,851367.1128,"Balaena mysticetus","Mammals","Vulnerable",1
"5",11,1997,353142.5234,"Balaena mysticetus","Mammals","Vulnerable",1
"6",11,1998,1879.601227,"Balaena mysticetus","Mammals","Vulnerable",1
"7",11,1999,3677.971188,"Balaena mysticetus","Mammals","Vulnerable",1
"8",11,2000,3558.362369,"Balaena mysticetus","Mammals","Vulnerable",1
"9",11,2001,34599.09656,"Balaena mysticetus","Mammals","Vulnerable",1
"10",11,2002,10155.50528,"Balaena mysticetus","Mammals","Vulnerable",1
"11",11,2003,271604.1016,"Balaena mysticetus","Mammals","Vulnerable",1
"12",11,2004,246679.072,"Balaena mysticetus","Mammals","Vulnerable",1
"13",11,2005,1702692.005,"Balaena mysticetus","Mammals","Vulnerable",1
"14",11,2006,4887527.429,"Balaena mysticetus","Mammals","Vulnerable",1
"15",11,2007,2604870.304,"Balaena mysticetus","Mammals","Vulnerable",1
"16",11,2008,2316470.496,"Balaena mysticetus","Mammals","Vulnerable",1
"17",11,2009,3467920.471,"Balaena mysticetus","Mammals","Vulnerable",1
"18",11,2010,3170625.287,"Balaena mysticetus","Mammals","Vulnerable",1
"19",11,2011,3803165.152,"Balaena mysticetus","Mammals","Vulnerable",1
"20",11,2012,5998354.931,"Balaena mysticetus","Mammals","Vulnerable",1
"21",11,2013,27227943.35,"Balaena mysticetus","Mammals","Vulnerable",1
"22",54,2015,906819.3253,"Calidris canutus","Birds","Apparently Secure",1
"23",54,2016,1073823.95,"Calidris canutus","Birds","Apparently Secure",1
"24",84,2014,51774.39797,"Gambusia georgei","Fishes","Extinct",1
"25",84,2015,827.3417722,"Gambusia georgei","Fishes","Extinct",1
"26",84,2016,1838.25,"Gambusia georgei","Fishes","Extinct",1
"27",84,1996,87479.92352,"Gambusia georgei","Fishes","Extinct",1
"28",84,1997,58793.45794,"Gambusia georgei","Fishes","Extinct",1
"29",84,1998,51876.99387,"Gambusia georgei","Fishes","Extinct",1
"30",84,1999,29423.76951,"Gambusia georgei","Fishes","Extinct",1
"31",84,2000,0,"Gambusia georgei","Fishes","Extinct",1
"32",84,2001,138.3963862,"Gambusia georgei","Fishes","Extinct",1
"33",84,2002,136.2423569,"Gambusia georgei","Fishes","Extinct",1
"34",84,2003,3543.293478,"Gambusia georgei","Fishes","Extinct",1
